w1;w2
   1.1610e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00 ;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
1.0074e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.1645e+00;   1.0000e+00
